trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.999}",25,0,-180.86716512648132,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.998}",25,0,-83.45653633861916,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.997}",20,0,-201.96128016813043,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.996}",30,0,-187.2505512801805,"{0: 18, 1: 5, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.2, 'e': 0.995}",20,0,-99.95527246207682,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.994}",20,0,-46.340540779721195,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.993}",20,0,-54.16738957919425,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.992}",30,0,-209.2505931916311,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.2, 'e': 0.991}",25,0,-172.97165411843355,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.2, 'e': 0.99}",30,0,-226.98339352982504,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 5}",0
11,False,"{'a': 0.2, 'e': 0.989}",20,0,-72.09865872774478,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.988}",30,0,-168.60564291298894,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.987}",20,0,-43.02855115226221,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.986}",20,0,-180.7332157152087,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
