trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.45}",20,0,-56.032439849483744,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.4}",20,0,-57.69564849067596,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.35000000000000003}",20,0,-83.34307137100424,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.30000000000000004}",20,0,-57.2437543612711,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.25000000000000006}",25,0,-174.90509758221256,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.20000000000000007}",25,0,-166.34682230160695,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.15000000000000008}",25,0,-200.12591838689914,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.10000000000000007}",20,0,-178.4606758467134,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.05000000000000007}",20,0,-171.4661973085523,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 6.938893903907228e-17}",20,0,-202.39329109701083,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': -0.04999999999999993}",20,0,-80.33300370321548,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': -0.09999999999999994}",20,0,-90.18134607674105,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': -0.14999999999999994}",30,18,-59.64689957990898,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': -0.19999999999999996}",20,0,-68.77937792555117,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': -0.24999999999999994}",25,0,-101.57798330852692,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': -0.29999999999999993}",25,0,-107.54803345295987,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': -0.3499999999999999}",25,0,-104.01939427744834,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': -0.3999999999999999}",25,0,-75.39979809699838,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': -0.4499999999999999}",25,1,-138.94417037921318,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': -0.4999999999999999}",30,0,-259.49765365230326,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
1,True,"{'a': 0, 'e': 0}",25,0,-130.89573685643975,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-184.26319056478292,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",30,0,-175.45567962749575,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-60.554328710520316,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,7,-3.9933823522340806,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-118.61632840882729,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-241.57084738826435,"{0: 11, 1: 1, 2: 7, 3: 3, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-113.15313763673618,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,11,-6.634613372981732,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,0,-113.29354561363718,"{0: 27, 1: 1, 2: 5, 3: 0, 4: 2}",0
