trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-78.01443709500612,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-120.77837205016908,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-154.81891692501765,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-117.54439466519108,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-160.59013680540122,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.994}",25,0,-195.31449289642583,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.993}",25,0,-116.71297570449671,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992}",30,0,-118.35549672956766,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991}",20,0,-90.8569967123913,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.99}",25,0,-76.25452863631808,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.989}",30,0,-174.33151153875124,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,5,-68.98790079017645,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-71.84462882549438,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986}",30,0,-114.2493056556173,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-29.554853380851963,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-67.79039391066857,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.983}",20,0,-98.31672121602479,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-66.93654638839384,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
